ABAP|Software
AJAX|Software
APL|Software
ASP.NET|Software
Adobe Illustrator|Software
Adobe Photoshop|Software
Aircrack (outil de test d’intrusion)|AI/ML
Ajax Framework|Software
Android (systèmes d’exploitation mobiles)|Data
Angular|Software
Ansible|DevOps
Apache Maven|Software
Apache Tomcat|Software
Assembly (programmation informatique)|Software
Backbox (outil de test d’intrusion)|AI/ML
BlackArch|AI/ML
BlackBerry|Data
C#|Software
C++|Software
CA Datacom/DB|Data
COBOL|Software
CSS|Software
Cain and Abel (outil de test d’intrusion)|AI/ML
Chef (outils de gestion de configuration logicielle)|Software
Cisco|Network
Codenvy|Software
CoffeeScript|Software
Common Lisp|Software
Compiler des enregistrements multipistes|AI/ML
DB2|Software
DevOps|DevOps
Drupal|Software
Eclipse (environnement de développement intégré)|Software
Erlang|Software
FileMaker (systèmes de gestion de base de données)|Software
GIMP (logiciel d’édition graphique)|Software
Groovy|Software
Hadoop|Data
Haskell|Software
IBM InfoSphere DataStage|Data
IBM InfoSphere Information Server|Software
IBM Informix|Software
IBM WebSphere|Software
Informatica PowerCenter|Software
Interaction homme-machine|Data
Interagir professionnellement dans des environnements de recherche et professionnels|Software
Internet des objets|Software
JSSS|Software
Java (programmation informatique)|Software
JavaScript|Software
JavaScript Framework|Software
Jenkins (outils de gestion de configuration logicielle)|Software
John The Ripper (outil de test d’intrusion)|AI/ML
Joomla|AI/ML
KDevelop|Software
Kali Linux|AI/ML
LDAP|Software
LESS|Software
LINQ|Software
Lisp|Software
MATLAB|Software
MDX|Software
ML (programmation informatique)|AI/ML
Maltego|AI/ML
MarkLogic|Software
Metasploit|AI/ML
Microsoft Access|Software
Microsoft Visio|Software
Microsoft Visual C++|Software
MySQL|Data
N1QL|Software
Nessus|AI/ML
Nexpose|AI/ML
NoSQL|Data
OWASP ZAP|AI/ML
ObjectStore|Software
Objective-C|Software
Octopus Deploy|Software
OpenEdge Advanced Business Language|Software
OpenEdge Database|Data
Oracle Application Development Framework|Software
Oracle Data Integrator|Data
Oracle Relational Database|Data
Oracle Warehouse Builder|Data
Oracle WebLogic|Software
PHP|Software
Parrot Security OS|AI/ML
Pascal (programmation informatique)|Software
Pentaho Data Integration|Data
Perl|Software
PostgreSQL|Data
Prolog (programmation informatique)|Software
Puppet (outils de gestion de configuration logicielle)|Software
Python (programmation informatique)|Software
QlikView Expressor|Software
R|Software
RGPD|AI/ML
Ruby (programmation informatique)|Software
SAP Data Services|Data
SAP R3|Software
SAS Data Management|Data
SAS language|Software
SPARK|Data
SPARQL|Software
SQL|Data
SQL Server|Data
SQL Server Integration Services|Data
STAF|Software
Salt (outils de gestion de configuration logicielle)|Software
Samurai Web Testing Framework|AI/ML
Sass|Software
Scala|Software
Scratch (programmation informatique)|Software
SketchBook Pro|Software
Smalltalk (programmation informatique)|Software
Solidity|Software
Swift (programmation informatique)|Software
Synfig|Software
THC Hydra|AI/ML
Teradata Database|Data
TripleStore|Software
TypeScript|Software
VBScript|Software
Vagrant|Software
Visual Basic|Software
Vyper|Software
WebCMS|Software
WhiteHat Sentinel|AI/ML
WildFly|Software
Wireshark|AI/ML
WordPress|Software
XQuery|Software
Xcode|Software
aborder des problèmes avec un esprit critique|Data
acheter des droits musicaux|Software
acoustique|Software
acquérir des composants système|Software
adapter des modèles existants à des changements de circonstances|AI/ML
adapter la capacité d’un système de TIC|Network
adapter le plan artistique au lieu|Software
administrer un système de TIC|Software
administrer un système de gestion de bases de données relationnelles|Software
aider des clients|Software
aider les utilisateurs de systèmes d'information|Software
aider à l'installation d'un système audio|Software
algorithmes|Software
algorithmisation des tâches|Software
aligner des antennes et des paraboles|AI/ML
aligner le logiciel sur l’architecture du système|AI/ML
améliorer la visibilité d’un site web|AI/ML
améliorer les processus d’entreprise|Software
analyse de données|Data
analyse de l’investissement|Data
analyse des applications décentralisées|Data
analyse des cas d’utilisation de la technologie de la chaîne de blocs|Data
analyse des entreprises|Data
analyse des risques d’utilisation d’un produit|Data
analyse des réseaux sociaux|AI/ML
analyse des soins de santé|Data
analyse empirique|Data
analyse marketing|Data
analyse quantitative|Data
analyser des mégadonnées|Data
analyser des procédures d’entreprise|Data
analyser la configuration et les performances du réseau|Data
analyser la scénographie|AI/ML
analyser le besoin de ressources techniques|AI/ML
analyser le concept artistique d’après les actions scéniques|AI/ML
analyser le processus de développement d’une organisation|Data
analyser les besoins en bande passante réseau|Data
analyser les capacités du personnel|Data
analyser les données de la base de données sur les canalisations de transport|Data
analyser les exigences des entreprises|Data
analyser les spécifications du logiciel|Data
analyser les systèmes d’information d’une organisation|Data
analyser un scénario|Data
analyser un système de TIC|Data
analyser une partition musicale|AI/ML
anomalies logicielles|QA/Test
application du concept de chaîne de blocs|Software
applications de la technologie de la chaîne de blocs|Software
appliquer des compétences de communication technique|Software
appliquer des méthodes statistiques de contrôle des procédés|Software
appliquer des normes de santé et de sécurité|Security
appliquer des opérations pour un environnement ITIL|Security
appliquer des outils de développement de contenu|Software
appliquer des politiques de sécurité de l’information|Security
appliquer des principes d’éthique et d’intégrité scientifique de la recherche dans les activités de recherche|Software
appliquer des procédures de gestion des risques|Software
appliquer des techniques d’analyse statistique|Data
appliquer des techniques d’imagerie 3D|Software
appliquer la gestion des conflits|Software
appliquer la gestion du changement|Software
appliquer la pensée systémique de conception|Software
appliquer la rétro-ingénierie|Software
appliquer la théorie des systèmes d’information et de communication|Software
appliquer les politiques d’une entreprise|Software
appliquer les politiques organisationnelles du système|Software
appliquer les politiques relatives à l’utilisation des systèmes TIC|Software
appliquer l’apprentissage mixte|AI/ML
apprentissage automatique|AI/ML
apprentissage profond|AI/ML
architecture de la chaîne de blocs|Software
architecture de l’information|Software
architectures matérielles|Software
archiver la documentation relative à l'œuvre|Software
assembler des séquences vidéo|Software
assister un opérateur multimédia|AI/ML
assister à des répétitions|Software
assister à des séances d’enregistrement de musique|Software
assurer la conception technique d'un système de sonorisation|Software
assurer la confidentialité des informations|AI/ML
assurer la conformité à une législation environnementale|Software
assurer la gestion de l’identité des TIC|Security
assurer la gestion de projets|Software
assurer la planification des ressources|Software
assurer la préservation légale des appareils numériques|AI/ML
assurer la relecture d’un texte|Software
assurer la sécurité de systèmes électriques mobiles|Data
assurer le contrôle de la qualité de la conception au cours d’une prestation|QA/Test
assurer le respect des exigences légales|Software
assurer le respect des normes TIC en matière d’organisation|Software
assurer le respect des réglementations de l’entreprise|Software
assurer une formation sur les TIC|Network
attention aux détails dans le cadre de la préparation des audits|QA/Test
automatiser les tâches en nuage|Software
avoir des connaissances en informatique|Software
avoir le sens des affaires|Software
base de connaissances|Software
base de données|Software
besoins des utilisateurs des systèmes d’information et de communication|Software
bibliothèques de composants logiciels|Data
biologie computationnelle|Data
