occupationUri,occupationLabel,label,skills_essential,skills_optional,skills_unknown,n_total
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,administrateur de base de données/administratrice de base de données,AI/ML,"[""créer des modèles de données"", ""modèles de données""]",[],[],2
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,administrateur de base de données/administratrice de base de données,Data,[],"[""MySQL"", ""OpenEdge Database"", ""Oracle Relational Database"", ""PostgreSQL"", ""SQL Server"", ""Teradata Database""]",[],6
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,administrateur de base de données/administratrice de base de données,QA/Test,"[""évaluation de la qualité de données""]","[""méthodes d’assurance qualité""]",[],2
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,administrateur de base de données/administratrice de base de données,Security,"[""maintenir la sécurité d’une base de données""]","[""mettre en œuvre les politiques de sécurité des TIC""]",[],2
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,administrateur de base de données/administratrice de base de données,Software,"[""administrer un système de TIC"", ""administrer un système de gestion de bases de données relationnelles"", ""appliquer les politiques d’une entreprise"", ""bonne pratique en matière de sauvegarde de systèmes"", ""calcul distribué"", ""concevoir les spécifications de sauvegarde des bases de données"", ""concevoir un schéma de base de données"", ""définir la structure physique de la base de données"", ""effectuer des sauvegardes"", ""gérer une base de données"", ""interpréter des textes techniques"", ""langage de requête Cadre de Description des Ressources"", ""langages de requête"", ""maintenir les performances d’une base de données"", ""outils de développement de bases de données"", ""procéder au dépannage des TIC"", ""services de noms de domaine"", ""stockage de données"", ""structure de l’information"", ""systèmes de gestion de base de données"", ""utiliser des bases de données"", ""utiliser la programmation de scripts"", ""utiliser une interface spécifique à une application"", ""équilibrer les ressources d’une base de données""]","[""DB2"", ""FileMaker (systèmes de gestion de base de données)"", ""IBM Informix"", ""LDAP"", ""LINQ"", ""MDX"", ""MarkLogic"", ""Microsoft Access"", ""N1QL"", ""ObjectStore"", ""SPARQL"", ""TripleStore"", ""XQuery"", ""aider les utilisateurs de systèmes d'information"", ""concevoir une base de données dans le nuage"", ""dispenser une formation technique"", ""fournir une assistance TIC"", ""gérer les données et le stockage dans l’informatique en nuage"", ""informatique décisionnelle"", ""ingénierie en mégadonnées"", ""installer un logiciel antivirus"", ""installer un pare-feu"", ""protéger des données à caractère personnel et la vie privée"", ""réaliser des audits informatiques"", ""supprimer un virus informatique ou un logiciel malveillant d’un ordinateur"", ""traitement analytique en ligne"", ""utiliser des outils de sauvegarde et de récupération"", ""utiliser différents moyens de communication"", ""utiliser la programmation automatique"", ""utiliser un logiciel de tableur"", ""évaluer la durée de travail""]",[],55
http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027,administrateur de contenu web/administratrice de contenu web,AI/ML,"[""fournir du contenu multimédia"", ""intégrer du contenu à des médias de sortie""]","[""médias interactifs""]",[],3
http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027,administrateur de contenu web/administratrice de contenu web,Data,[],"[""effectuer une analyse de données en ligne""]",[],1
http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027,administrateur de contenu web/administratrice de contenu web,QA/Test,"[""effectuer un contrôle de la qualité du contenu""]",[],[],1
http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027,administrateur de contenu web/administratrice de contenu web,Software,"[""appliquer des outils de développement de contenu"", ""assurer le respect des exigences légales"", ""assurer le respect des réglementations de l’entreprise"", ""compiler des contenus"", ""création de contenus numériques"", ""créer un intitulé"", ""exigences légales concernant les produits dans le secteur des TIC"", ""fournir du contenu écrit"", ""gérer du contenu en ligne"", ""gérer les métadonnées de contenu"", ""identifier les exigences des clients"", ""identifier les exigences légales"", ""interpréter des textes techniques"", ""langages des feuilles de style"", ""logiciel de création"", ""mots-clés dans du contenu numérique"", ""plateformes collaboratives en ligne"", ""processus de création de contenu"", ""procéder à l’optimisation des moteurs de recherche"", ""programmation web"", ""se conformer aux réglementations juridiques"", ""stratégie de publication"", ""structure de l’information"", ""traduire les exigences en conception visuelle"", ""traduire les exigences en contenu"", ""utiliser des langages de balisage"", ""utiliser des types de contenu"", ""utiliser un logiciel de système de gestion de contenu"", ""élaborer des contenus numériques""]","[""AJAX"", ""CSS"", ""JSSS"", ""JavaScript"", ""LESS"", ""PHP"", ""Sass"", ""assurer la relecture d’un texte"", ""créer un appel à l’action"", ""effectuer un travail de rédaction"", ""fournir des instructions pour le développement de contenu"", ""gérer des projets de création de contenu"", ""gérer la documentation de manière adéquate"", ""psychologie cognitive"", ""réalité augmentée"", ""standards du World Wide Web Consortium"", ""stratégie de marketing de contenu"", ""utiliser un logiciel de présentation"", ""utiliser un logiciel de tableur"", ""utiliser un logiciel de traitement de texte""]",[],49
http://data.europa.eu/esco/occupation/81480b40-a318-47f3-9b2c-56b69ed67d95,administrateur de réseau informatique/administratrice de réseau informatique,AI/ML,"[""mettre en œuvre des outils de diagnostic d’un réseau TIC"", ""technologies de dématérialisation""]","[""ML (programmation informatique)""]",[],3
